Header: Zwei harmonische Funktionen 
time 	signal1 	signal2 
   0.941    0.044   -0.139 
   0.942    0.057   -0.124 
   0.943    0.069   -0.109 
   0.944    0.082   -0.094 
   0.945    0.094   -0.078 
   0.946    0.107   -0.063 
   0.947    0.119   -0.047 
   0.948    0.132   -0.031 
   0.949    0.144   -0.016 
   0.950    0.156   -0.000 
   0.951    0.169    0.016 
   0.952    0.181    0.031 
   0.953    0.194    0.047 
   0.954    0.206    0.063 
   0.955    0.218    0.078 
   0.956    0.230    0.094 
   0.957    0.243    0.109 
   0.958    0.255    0.124 
   0.959    0.267    0.139 
   0.960    0.279    0.155 
   0.961    0.291    0.169 
   0.962    0.303    0.184 
   0.963    0.315    0.199 
   0.964    0.327    0.213 
   0.965    0.339    0.227 
   0.966    0.351    0.241 
   0.967    0.362    0.255 
   0.968    0.374    0.268 
   0.969    0.386    0.281 
   0.970    0.397    0.294 
   0.971    0.409    0.306 
   0.972    0.420    0.319 
   0.973    0.431    0.331 
   0.974    0.443    0.342 
   0.975    0.454    0.354 
   0.976    0.465    0.364 
   0.977    0.476    0.375 
   0.978    0.487    0.385 
   0.979    0.498    0.395 
   0.980    0.509    0.405 
   0.981    0.520    0.414 
   0.982    0.531    0.422 
   0.983    0.541    0.430 
   0.984    0.552    0.438 
   0.985    0.562    0.446 
   0.986    0.572    0.452 
   0.987    0.583    0.459 
   0.988    0.593    0.465 
   0.989    0.603    0.470 
   0.990    0.613    0.476 
   0.991    0.623    0.480 
   0.992    0.633    0.484 
   0.993    0.642    0.488 
   0.994    0.652    0.491 
   0.995    0.661    0.494 
   0.996    0.671    0.496 
   0.997    0.680    0.498 
   0.998    0.689    0.499 
   0.999    0.698    0.500 
   1.000    0.707    0.500 
   1.001    0.716    0.500 
   1.002    0.725    0.499 
   1.003    0.733    0.498 
   1.004    0.742    0.496 
   1.005    0.750    0.494 
   1.006    0.758    0.491 
   1.007    0.766    0.488 
   1.008    0.775    0.484 
   1.009    0.782    0.480 
   1.010    0.790    0.476 
   1.011    0.798    0.470 
   1.012    0.805    0.465 
   1.013    0.813    0.459 
   1.014    0.820    0.452 
   1.015    0.827    0.446 
   1.016    0.834    0.438 
   1.017    0.841    0.430 
   1.018    0.848    0.422 
   1.019    0.854    0.414 
   1.020    0.861    0.405 
   1.021    0.867    0.395 
   1.022    0.873    0.385 
   1.023    0.879    0.375 
   1.024    0.885    0.364 
   1.025    0.891    0.354 
   1.026    0.897    0.342 
   1.027    0.902    0.331 
   1.028    0.907    0.319 
   1.029    0.913    0.306 
   1.030    0.918    0.294 
   1.031    0.923    0.281 
   1.032    0.927    0.268 
   1.033    0.932    0.255 
   1.034    0.937    0.241 
   1.035    0.941    0.227 
   1.036    0.945    0.213 
   1.037    0.949    0.199 
   1.038    0.953    0.184 
   1.039    0.957    0.169 
   1.040    0.960    0.155 
   1.041    0.964    0.139 
   1.042    0.967    0.124 
   1.043    0.970    0.109 
   1.044    0.973    0.094 
   1.045    0.976    0.078 
   1.046    0.979    0.063 
   1.047    0.981    0.047 
   1.048    0.983    0.031 
   1.049    0.986    0.016 
   1.050    0.988    0.000 
   1.051    0.990   -0.016 
   1.052    0.991   -0.031 
   1.053    0.993   -0.047 
   1.054    0.994   -0.063 
   1.055    0.996   -0.078 
   1.056    0.997   -0.094 
   1.057    0.998   -0.109 
   1.058    0.998   -0.124 
   1.059    0.999   -0.139 
   1.060    1.000   -0.155 
   1.061    1.000   -0.169 
   1.062    1.000   -0.184 
   1.063    1.000   -0.199 
   1.064    1.000   -0.213 
   1.065    1.000   -0.227 
   1.066    0.999   -0.241 
   1.067    0.998   -0.255 
   1.068    0.998   -0.268 
   1.069    0.997   -0.281 
   1.070    0.996   -0.294 
   1.071    0.994   -0.306 
   1.072    0.993   -0.319 
   1.073    0.991   -0.331 
   1.074    0.990   -0.342 
   1.075    0.988   -0.354 
   1.076    0.986   -0.364 
   1.077    0.983   -0.375 
   1.078    0.981   -0.385 
   1.079    0.979   -0.395 
   1.080    0.976   -0.405 
   1.081    0.973   -0.414 
   1.082    0.970   -0.422 
   1.083    0.967   -0.430 
   1.084    0.964   -0.438 
   1.085    0.960   -0.446 
   1.086    0.957   -0.452 
   1.087    0.953   -0.459 
   1.088    0.949   -0.465 
   1.089    0.945   -0.470 
   1.090    0.941   -0.476 
   1.091    0.937   -0.480 
   1.092    0.932   -0.484 
   1.093    0.927   -0.488 
   1.094    0.923   -0.491 
   1.095    0.918   -0.494 
   1.096    0.913   -0.496 
   1.097    0.907   -0.498 
   1.098    0.902   -0.499 
   1.099    0.897   -0.500 
   1.100    0.891   -0.500 
   1.101    0.885   -0.500 
   1.102    0.879   -0.499 
   1.103    0.873   -0.498 
   1.104    0.867   -0.496 
   1.105    0.861   -0.494 
   1.106    0.854   -0.491 
   1.107    0.848   -0.488 
   1.108    0.841   -0.484 
   1.109    0.834   -0.480 
   1.110    0.827   -0.476 
   1.111    0.820   -0.470 
   1.112    0.813   -0.465 
   1.113    0.805   -0.459 
   1.114    0.798   -0.452 
   1.115    0.790   -0.446 
   1.116    0.782   -0.438 
   1.117    0.775   -0.430 
   1.118    0.766   -0.422 
   1.119    0.758   -0.414 
   1.120    0.750   -0.405 
   1.121    0.742   -0.395 
   1.122    0.733   -0.385 
   1.123    0.725   -0.375 
   1.124    0.716   -0.364 
   1.125    0.707   -0.354 
   1.126    0.698   -0.342 
   1.127    0.689   -0.331 
   1.128    0.680   -0.319 
   1.129    0.671   -0.306 
   1.130    0.661   -0.294 
   1.131    0.652   -0.281 
   1.132    0.642   -0.268 
   1.133    0.633   -0.255 
   1.134    0.623   -0.241 
   1.135    0.613   -0.227 
   1.136    0.603   -0.213 
   1.137    0.593   -0.199 
   1.138    0.583   -0.184 
   1.139    0.572   -0.169 
   1.140    0.562   -0.155 
   1.141    0.552   -0.139 
   1.142    0.541   -0.124 
   1.143    0.531   -0.109 
   1.144    0.520   -0.094 
   1.145    0.509   -0.078 
   1.146    0.498   -0.063 
   1.147    0.487   -0.047 
   1.148    0.476   -0.031 
   1.149    0.465   -0.016 
   1.150    0.454   -0.000 
   1.151    0.443    0.016 
   1.152    0.431    0.031 
   1.153    0.420    0.047 
   1.154    0.409    0.063 
   1.155    0.397    0.078 
   1.156    0.386    0.094 
   1.157    0.374    0.109 
   1.158    0.362    0.124 
   1.159    0.351    0.139 
   1.160    0.339    0.155 
   1.161    0.327    0.169 
   1.162    0.315    0.184 
   1.163    0.303    0.199 
   1.164    0.291    0.213 
   1.165    0.279    0.227 
   1.166    0.267    0.241 
   1.167    0.255    0.255 
   1.168    0.243    0.268 
   1.169    0.230    0.281 
   1.170    0.218    0.294 
   1.171    0.206    0.306 
   1.172    0.194    0.319 
   1.173    0.181    0.331 
   1.174    0.169    0.342 
   1.175    0.156    0.354 
   1.176    0.144    0.364 
   1.177    0.132    0.375 
   1.178    0.119    0.385 
   1.179    0.107    0.395 
   1.180    0.094    0.405 
   1.181    0.082    0.414 
   1.182    0.069    0.422 
   1.183    0.057    0.430 
   1.184    0.044    0.438 
   1.185    0.031    0.446 
   1.186    0.019    0.452 
   1.187    0.006    0.459 
   1.188   -0.006    0.465 
   1.189   -0.019    0.470 
   1.190   -0.031    0.476 
   1.191   -0.044    0.480 
   1.192   -0.057    0.484 
   1.193   -0.069    0.488 
   1.194   -0.082    0.491 
   1.195   -0.094    0.494 
   1.196   -0.107    0.496 
   1.197   -0.119    0.498 
   1.198   -0.132    0.499 
   1.199   -0.144    0.500 
   1.200   -0.156    0.500 
   1.201   -0.169    0.500 
   1.202   -0.181    0.499 
   1.203   -0.194    0.498 
   1.204   -0.206    0.496 
   1.205   -0.218    0.494 
   1.206   -0.230    0.491 
   1.207   -0.243    0.488 
   1.208   -0.255    0.484 
   1.209   -0.267    0.480 
   1.210   -0.279    0.476 
   1.211   -0.291    0.470 
   1.212   -0.303    0.465 
   1.213   -0.315    0.459 
   1.214   -0.327    0.452 
   1.215   -0.339    0.446 
   1.216   -0.351    0.438 
   1.217   -0.362    0.430 
   1.218   -0.374    0.422 
   1.219   -0.386    0.414 
   1.220   -0.397    0.405 
   1.221   -0.409    0.395 
   1.222   -0.420    0.385 
   1.223   -0.431    0.375 
   1.224   -0.443    0.364 
   1.225   -0.454    0.354 
   1.226   -0.465    0.342 
   1.227   -0.476    0.331 
   1.228   -0.487    0.319 
   1.229   -0.498    0.306 
   1.230   -0.509    0.294 
   1.231   -0.520    0.281 
   1.232   -0.531    0.268 
   1.233   -0.541    0.255 
   1.234   -0.552    0.241 
   1.235   -0.562    0.227 
   1.236   -0.572    0.213 
   1.237   -0.583    0.199 
   1.238   -0.593    0.184 
   1.239   -0.603    0.169 
   1.240   -0.613    0.155 
   1.241   -0.623    0.139 
   1.242   -0.633    0.124 
   1.243   -0.642    0.109 
   1.244   -0.652    0.094 
   1.245   -0.661    0.078 
   1.246   -0.671    0.063 
   1.247   -0.680    0.047 
   1.248   -0.689    0.031 
   1.249   -0.698    0.016 
   1.250   -0.707   -0.000 
   1.251   -0.716   -0.016 
   1.252   -0.725   -0.031 
   1.253   -0.733   -0.047 
   1.254   -0.742   -0.063 
   1.255   -0.750   -0.078 
   1.256   -0.758   -0.094 
   1.257   -0.766   -0.109 
   1.258   -0.775   -0.124 
   1.259   -0.782   -0.139 
   1.260   -0.790   -0.155 
   1.261   -0.798   -0.169 
   1.262   -0.805   -0.184 
   1.263   -0.813   -0.199 
   1.264   -0.820   -0.213 
   1.265   -0.827   -0.227 
   1.266   -0.834   -0.241 
   1.267   -0.841   -0.255 
   1.268   -0.848   -0.268 
   1.269   -0.854   -0.281 
   1.270   -0.861   -0.294 
   1.271   -0.867   -0.306 
   1.272   -0.873   -0.319 
   1.273   -0.879   -0.331 
   1.274   -0.885   -0.342 
   1.275   -0.891   -0.354 
   1.276   -0.897   -0.364 
   1.277   -0.902   -0.375 
   1.278   -0.907   -0.385 
   1.279   -0.913   -0.395 
   1.280   -0.918   -0.405 
   1.281   -0.923   -0.414 
   1.282   -0.927   -0.422 
   1.283   -0.932   -0.430 
   1.284   -0.937   -0.438 
   1.285   -0.941   -0.446 
   1.286   -0.945   -0.452 
   1.287   -0.949   -0.459 
   1.288   -0.953   -0.465 
   1.289   -0.957   -0.470 
   1.290   -0.960   -0.476 
   1.291   -0.964   -0.480 
   1.292   -0.967   -0.484 
   1.293   -0.970   -0.488 
   1.294   -0.973   -0.491 
   1.295   -0.976   -0.494 
   1.296   -0.979   -0.496 
   1.297   -0.981   -0.498 
   1.298   -0.983   -0.499 
   1.299   -0.986   -0.500 
   1.300   -0.988   -0.500 
   1.301   -0.990   -0.500 
   1.302   -0.991   -0.499 
   1.303   -0.993   -0.498 
   1.304   -0.994   -0.496 
   1.305   -0.996   -0.494 
   1.306   -0.997   -0.491 
   1.307   -0.998   -0.488 
   1.308   -0.998   -0.484 
   1.309   -0.999   -0.480 
   1.310   -1.000   -0.476 
   1.311   -1.000   -0.470 
   1.312   -1.000   -0.465 
   1.313   -1.000   -0.459 
   1.314   -1.000   -0.452 
   1.315   -1.000   -0.446 
   1.316   -0.999   -0.438 
   1.317   -0.998   -0.430 
   1.318   -0.998   -0.422 
   1.319   -0.997   -0.414 
   1.320   -0.996   -0.405 
   1.321   -0.994   -0.395 
   1.322   -0.993   -0.385 
   1.323   -0.991   -0.375 
   1.324   -0.990   -0.364 
   1.325   -0.988   -0.354 
   1.326   -0.986   -0.342 
   1.327   -0.983   -0.331 
   1.328   -0.981   -0.319 
   1.329   -0.979   -0.306 
   1.330   -0.976   -0.294 
   1.331   -0.973   -0.281 
   1.332   -0.970   -0.268 
   1.333   -0.967   -0.255 
   1.334   -0.964   -0.241 
   1.335   -0.960   -0.227 
   1.336   -0.957   -0.213 
   1.337   -0.953   -0.199 
   1.338   -0.949   -0.184 
   1.339   -0.945   -0.169 
   1.340   -0.941   -0.155 
   1.341   -0.937   -0.139 
   1.342   -0.932   -0.124 
   1.343   -0.927   -0.109 
   1.344   -0.923   -0.094 
   1.345   -0.918   -0.078 
   1.346   -0.913   -0.063 
   1.347   -0.907   -0.047 
   1.348   -0.902   -0.031 
   1.349   -0.897   -0.016 
   1.350   -0.891    0.000 
   1.351   -0.885    0.016 
   1.352   -0.879    0.031 
   1.353   -0.873    0.047 
   1.354   -0.867    0.063 
   1.355   -0.861    0.078 
   1.356   -0.854    0.094 
   1.357   -0.848    0.109 
   1.358   -0.841    0.124 
   1.359   -0.834    0.139 
   1.360   -0.827    0.155 
   1.361   -0.820    0.169 
   1.362   -0.813    0.184 
   1.363   -0.805    0.199 
   1.364   -0.798    0.213 
   1.365   -0.790    0.227 
   1.366   -0.782    0.241 
   1.367   -0.775    0.255 
   1.368   -0.766    0.268 
   1.369   -0.758    0.281 
   1.370   -0.750    0.294 
   1.371   -0.742    0.306 
   1.372   -0.733    0.319 
   1.373   -0.725    0.331 
   1.374   -0.716    0.342 
   1.375   -0.707    0.354 
   1.376   -0.698    0.364 
   1.377   -0.689    0.375 
   1.378   -0.680    0.385 
   1.379   -0.671    0.395 
   1.380   -0.661    0.405 
   1.381   -0.652    0.414 
   1.382   -0.642    0.422 
   1.383   -0.633    0.430 
   1.384   -0.623    0.438 
   1.385   -0.613    0.446 
   1.386   -0.603    0.452 
   1.387   -0.593    0.459 
   1.388   -0.583    0.465 
   1.389   -0.572    0.470 
   1.390   -0.562    0.476 
   1.391   -0.552    0.480 
   1.392   -0.541    0.484 
   1.393   -0.531    0.488 
   1.394   -0.520    0.491 
   1.395   -0.509    0.494 
   1.396   -0.498    0.496 
   1.397   -0.487    0.498 
   1.398   -0.476    0.499 
   1.399   -0.465    0.500 
   1.400   -0.454    0.500 
   1.401   -0.443    0.500 
   1.402   -0.431    0.499 
   1.403   -0.420    0.498 
   1.404   -0.409    0.496 
   1.405   -0.397    0.494 
   1.406   -0.386    0.491 
   1.407   -0.374    0.488 
   1.408   -0.362    0.484 
   1.409   -0.351    0.480 
   1.410   -0.339    0.476 
   1.411   -0.327    0.470 
   1.412   -0.315    0.465 
   1.413   -0.303    0.459 
   1.414   -0.291    0.452 
   1.415   -0.279    0.446 
   1.416   -0.267    0.438 
   1.417   -0.255    0.430 
   1.418   -0.243    0.422 
   1.419   -0.230    0.414 
   1.420   -0.218    0.405 
   1.421   -0.206    0.395 
   1.422   -0.194    0.385 
   1.423   -0.181    0.375 
   1.424   -0.169    0.364 
   1.425   -0.156    0.354 
   1.426   -0.144    0.342 
   1.427   -0.132    0.331 
   1.428   -0.119    0.319 
   1.429   -0.107    0.306 
   1.430   -0.094    0.294 
   1.431   -0.082    0.281 
   1.432   -0.069    0.268 
   1.433   -0.057    0.255 
   1.434   -0.044    0.241 
   1.435   -0.031    0.227 
   1.436   -0.019    0.213 
   1.437   -0.006    0.199 
   1.438    0.006    0.184 
   1.439    0.019    0.169 
   1.440    0.031    0.155 
   1.441    0.044    0.139 
   1.442    0.057    0.124 
   1.443    0.069    0.109 
   1.444    0.082    0.094 
   1.445    0.094    0.078 
   1.446    0.107    0.063 
   1.447    0.119    0.047 
   1.448    0.132    0.031 
   1.449    0.144    0.016 
   1.450    0.156   -0.000 
   1.451    0.169   -0.016 
   1.452    0.181   -0.031 
   1.453    0.194   -0.047 
   1.454    0.206   -0.063 
   1.455    0.218   -0.078 
   1.456    0.230   -0.094 
   1.457    0.243   -0.109 
   1.458    0.255   -0.124 
   1.459    0.267   -0.139 
   1.460    0.279   -0.155 
   1.461    0.291   -0.169 
   1.462    0.303   -0.184 
   1.463    0.315   -0.199 
   1.464    0.327   -0.213 
   1.465    0.339   -0.227 
   1.466    0.351   -0.241 
   1.467    0.362   -0.255 
   1.468    0.374   -0.268 
   1.469    0.386   -0.281 
   1.470    0.397   -0.294 
   1.471    0.409   -0.306 
   1.472    0.420   -0.319 
   1.473    0.431   -0.331 
   1.474    0.443   -0.342 
   1.475    0.454   -0.354 
   1.476    0.465   -0.364 
   1.477    0.476   -0.375 
   1.478    0.487   -0.385 
   1.479    0.498   -0.395 
   1.480    0.509   -0.405 
   1.481    0.520   -0.414 
   1.482    0.531   -0.422 
   1.483    0.541   -0.430 
   1.484    0.552   -0.438 
   1.485    0.562   -0.446 
   1.486    0.572   -0.452 
   1.487    0.583   -0.459 
   1.488    0.593   -0.465 
   1.489    0.603   -0.470 
   1.490    0.613   -0.476 
   1.491    0.623   -0.480 
   1.492    0.633   -0.484 
   1.493    0.642   -0.488 
   1.494    0.652   -0.491 
   1.495    0.661   -0.494 
   1.496    0.671   -0.496 
   1.497    0.680   -0.498 
   1.498    0.689   -0.499 
   1.499    0.698   -0.500 
   1.500    0.707   -0.500 
   1.501    0.716   -0.500 
   1.502    0.725   -0.499 
   1.503    0.733   -0.498 
   1.504    0.742   -0.496 
   1.505    0.750   -0.494 
   1.506    0.758   -0.491 
   1.507    0.766   -0.488 
   1.508    0.775   -0.484 
   1.509    0.782   -0.480 
   1.510    0.790   -0.476 
   1.511    0.798   -0.470 
   1.512    0.805   -0.465 
   1.513    0.813   -0.459 
   1.514    0.820   -0.452 
   1.515    0.827   -0.446 
   1.516    0.834   -0.438 
   1.517    0.841   -0.430 
   1.518    0.848   -0.422 
   1.519    0.854   -0.414 
   1.520    0.861   -0.405 
   1.521    0.867   -0.395 
   1.522    0.873   -0.385 
   1.523    0.879   -0.375 
   1.524    0.885   -0.364 
   1.525    0.891   -0.354 
   1.526    0.897   -0.342 
   1.527    0.902   -0.331 
   1.528    0.907   -0.319 
   1.529    0.913   -0.306 
   1.530    0.918   -0.294 
   1.531    0.923   -0.281 
   1.532    0.927   -0.268 
   1.533    0.932   -0.255 
   1.534    0.937   -0.241 
   1.535    0.941   -0.227 
   1.536    0.945   -0.213 
   1.537    0.949   -0.199 
   1.538    0.953   -0.184 
   1.539    0.957   -0.169 
   1.540    0.960   -0.155 
   1.541    0.964   -0.139 
   1.542    0.967   -0.124 
   1.543    0.970   -0.109 
   1.544    0.973   -0.094 
   1.545    0.976   -0.078 
   1.546    0.979   -0.063 
   1.547    0.981   -0.047 
   1.548    0.983   -0.031 
   1.549    0.986   -0.016 
   1.550    0.988   -0.000 
   1.551    0.990    0.016 
   1.552    0.991    0.031 
   1.553    0.993    0.047 
   1.554    0.994    0.063 
   1.555    0.996    0.078 
   1.556    0.997    0.094 
   1.557    0.998    0.109 
   1.558    0.998    0.124 
   1.559    0.999    0.139 
   1.560    1.000    0.155 
   1.561    1.000    0.169 
   1.562    1.000    0.184 
   1.563    1.000    0.199 
   1.564    1.000    0.213 
   1.565    1.000    0.227 
   1.566    0.999    0.241 
   1.567    0.998    0.255 
   1.568    0.998    0.268 
   1.569    0.997    0.281 
   1.570    0.996    0.294 
   1.571    0.994    0.306 
   1.572    0.993    0.319 
   1.573    0.991    0.331 
   1.574    0.990    0.342 
   1.575    0.988    0.354 
   1.576    0.986    0.364 
   1.577    0.983    0.375 
   1.578    0.981    0.385 
   1.579    0.979    0.395 
   1.580    0.976    0.405 
   1.581    0.973    0.414 
   1.582    0.970    0.422 
   1.583    0.967    0.430 
   1.584    0.964    0.438 
   1.585    0.960    0.446 
   1.586    0.957    0.452 
   1.587    0.953    0.459 
   1.588    0.949    0.465 
   1.589    0.945    0.470 
   1.590    0.941    0.476 
   1.591    0.937    0.480 
   1.592    0.932    0.484 
   1.593    0.927    0.488 
   1.594    0.923    0.491 
   1.595    0.918    0.494 
   1.596    0.913    0.496 
   1.597    0.907    0.498 
   1.598    0.902    0.499 
   1.599    0.897    0.500 
   1.600    0.891    0.500 
   1.601    0.885    0.500 
   1.602    0.879    0.499 
   1.603    0.873    0.498 
   1.604    0.867    0.496 
   1.605    0.861    0.494 
   1.606    0.854    0.491 
   1.607    0.848    0.488 
   1.608    0.841    0.484 
   1.609    0.834    0.480 
   1.610    0.827    0.476 
   1.611    0.820    0.470 
   1.612    0.813    0.465 
   1.613    0.805    0.459 
   1.614    0.798    0.452 
   1.615    0.790    0.446 
   1.616    0.782    0.438 
   1.617    0.775    0.430 
   1.618    0.766    0.422 
   1.619    0.758    0.414 
   1.620    0.750    0.405 
   1.621    0.742    0.395 
   1.622    0.733    0.385 
   1.623    0.725    0.375 
   1.624    0.716    0.364 
   1.625    0.707    0.354 
   1.626    0.698    0.342 
   1.627    0.689    0.331 
   1.628    0.680    0.319 
   1.629    0.671    0.306 
   1.630    0.661    0.294 
   1.631    0.652    0.281 
   1.632    0.642    0.268 
   1.633    0.633    0.255 
   1.634    0.623    0.241 
   1.635    0.613    0.227 
   1.636    0.603    0.213 
   1.637    0.593    0.199 
   1.638    0.583    0.184 
   1.639    0.572    0.169 
   1.640    0.562    0.155 
   1.641    0.552    0.139 
   1.642    0.541    0.124 
   1.643    0.531    0.109 
   1.644    0.520    0.094 
   1.645    0.509    0.078 
   1.646    0.498    0.063 
   1.647    0.487    0.047 
   1.648    0.476    0.031 
   1.649    0.465    0.016 
   1.650    0.454    0.000 
   1.651    0.443   -0.016 
   1.652    0.431   -0.031 
   1.653    0.420   -0.047 
   1.654    0.409   -0.063 
   1.655    0.397   -0.078 
   1.656    0.386   -0.094 
   1.657    0.374   -0.109 
   1.658    0.362   -0.124 
   1.659    0.351   -0.139 
   1.660    0.339   -0.155 
   1.661    0.327   -0.169 
   1.662    0.315   -0.184 
   1.663    0.303   -0.199 
   1.664    0.291   -0.213 
   1.665    0.279   -0.227 
   1.666    0.267   -0.241 
   1.667    0.255   -0.255 
   1.668    0.243   -0.268 
   1.669    0.230   -0.281 
   1.670    0.218   -0.294 
   1.671    0.206   -0.306 
   1.672    0.194   -0.319 
   1.673    0.181   -0.331 
   1.674    0.169   -0.342 
   1.675    0.156   -0.354 
   1.676    0.144   -0.364 
   1.677    0.132   -0.375 
   1.678    0.119   -0.385 
   1.679    0.107   -0.395 
   1.680    0.094   -0.405 
   1.681    0.082   -0.414 
   1.682    0.069   -0.422 
   1.683    0.057   -0.430 
   1.684    0.044   -0.438 
   1.685    0.031   -0.446 
   1.686    0.019   -0.452 
   1.687    0.006   -0.459 
   1.688   -0.006   -0.465 
   1.689   -0.019   -0.470 
   1.690   -0.031   -0.476 
   1.691   -0.044   -0.480 
   1.692   -0.057   -0.484 
   1.693   -0.069   -0.488 
   1.694   -0.082   -0.491 
   1.695   -0.094   -0.494 
   1.696   -0.107   -0.496 
   1.697   -0.119   -0.498 
   1.698   -0.132   -0.499 
   1.699   -0.144   -0.500 
   1.700   -0.156   -0.500 
   1.701   -0.169   -0.500 
   1.702   -0.181   -0.499 
   1.703   -0.194   -0.498 
   1.704   -0.206   -0.496 
   1.705   -0.218   -0.494 
   1.706   -0.230   -0.491 
   1.707   -0.243   -0.488 
   1.708   -0.255   -0.484 
   1.709   -0.267   -0.480 
   1.710   -0.279   -0.476 
   1.711   -0.291   -0.470 
   1.712   -0.303   -0.465 
   1.713   -0.315   -0.459 
   1.714   -0.327   -0.452 
   1.715   -0.339   -0.446 
   1.716   -0.351   -0.438 
   1.717   -0.362   -0.430 
   1.718   -0.374   -0.422 
   1.719   -0.386   -0.414 
   1.720   -0.397   -0.405 
   1.721   -0.409   -0.395 
   1.722   -0.420   -0.385 
   1.723   -0.431   -0.375 
   1.724   -0.443   -0.364 
   1.725   -0.454   -0.354 
   1.726   -0.465   -0.342 
   1.727   -0.476   -0.331 
   1.728   -0.487   -0.319 
   1.729   -0.498   -0.306 
   1.730   -0.509   -0.294 
   1.731   -0.520   -0.281 
   1.732   -0.531   -0.268 
   1.733   -0.541   -0.255 
   1.734   -0.552   -0.241 
   1.735   -0.562   -0.227 
   1.736   -0.572   -0.213 
   1.737   -0.583   -0.199 
   1.738   -0.593   -0.184 
   1.739   -0.603   -0.169 
   1.740   -0.613   -0.155 
   1.741   -0.623   -0.139 
   1.742   -0.633   -0.124 
   1.743   -0.642   -0.109 
   1.744   -0.652   -0.094 
   1.745   -0.661   -0.078 
   1.746   -0.671   -0.063 
   1.747   -0.680   -0.047 
   1.748   -0.689   -0.031 
   1.749   -0.698   -0.016 
   1.750   -0.707   -0.000 
   1.751   -0.716    0.016 
   1.752   -0.725    0.031 
   1.753   -0.733    0.047 
   1.754   -0.742    0.063 
   1.755   -0.750    0.078 
   1.756   -0.758    0.094 
   1.757   -0.766    0.109 
   1.758   -0.775    0.124 
   1.759   -0.782    0.139 
   1.760   -0.790    0.155 
   1.761   -0.798    0.169 
   1.762   -0.805    0.184 
   1.763   -0.813    0.199 
   1.764   -0.820    0.213 
   1.765   -0.827    0.227 
   1.766   -0.834    0.241 
   1.767   -0.841    0.255 
   1.768   -0.848    0.268 
   1.769   -0.854    0.281 
   1.770   -0.861    0.294 
   1.771   -0.867    0.306 
   1.772   -0.873    0.319 
   1.773   -0.879    0.331 
   1.774   -0.885    0.342 
   1.775   -0.891    0.354 
   1.776   -0.897    0.364 
   1.777   -0.902    0.375 
   1.778   -0.907    0.385 
   1.779   -0.913    0.395 
   1.780   -0.918    0.405 
   1.781   -0.923    0.414 
   1.782   -0.927    0.422 
   1.783   -0.932    0.430 
   1.784   -0.937    0.438 
   1.785   -0.941    0.446 
   1.786   -0.945    0.452 
   1.787   -0.949    0.459 
   1.788   -0.953    0.465 
   1.789   -0.957    0.470 
   1.790   -0.960    0.476 
   1.791   -0.964    0.480 
   1.792   -0.967    0.484 
   1.793   -0.970    0.488 
   1.794   -0.973    0.491 
   1.795   -0.976    0.494 
   1.796   -0.979    0.496 
   1.797   -0.981    0.498 
   1.798   -0.983    0.499 
   1.799   -0.986    0.500 
   1.800   -0.988    0.500 
   1.801   -0.990    0.500 
   1.802   -0.991    0.499 
   1.803   -0.993    0.498 
   1.804   -0.994    0.496 
   1.805   -0.996    0.494 
   1.806   -0.997    0.491 
   1.807   -0.998    0.488 
   1.808   -0.998    0.484 
   1.809   -0.999    0.480 
   1.810   -1.000    0.476 
   1.811   -1.000    0.470 
   1.812   -1.000    0.465 
   1.813   -1.000    0.459 
   1.814   -1.000    0.452 
   1.815   -1.000    0.446 
   1.816   -0.999    0.438 
   1.817   -0.998    0.430 
   1.818   -0.998    0.422 
   1.819   -0.997    0.414 
   1.820   -0.996    0.405 
   1.821   -0.994    0.395 
   1.822   -0.993    0.385 
   1.823   -0.991    0.375 
   1.824   -0.990    0.364 
   1.825   -0.988    0.354 
   1.826   -0.986    0.342 
   1.827   -0.983    0.331 
   1.828   -0.981    0.319 
   1.829   -0.979    0.306 
   1.830   -0.976    0.294 
   1.831   -0.973    0.281 
   1.832   -0.970    0.268 
   1.833   -0.967    0.255 
   1.834   -0.964    0.241 
   1.835   -0.960    0.227 
   1.836   -0.957    0.213 
   1.837   -0.953    0.199 
   1.838   -0.949    0.184 
   1.839   -0.945    0.169 
   1.840   -0.941    0.155 
   1.841   -0.937    0.139 
   1.842   -0.932    0.124 
   1.843   -0.927    0.109 
   1.844   -0.923    0.094 
   1.845   -0.918    0.078 
   1.846   -0.913    0.063 
   1.847   -0.907    0.047 
   1.848   -0.902    0.031 
   1.849   -0.897    0.016 
   1.850   -0.891   -0.000 
   1.851   -0.885   -0.016 
   1.852   -0.879   -0.031 
   1.853   -0.873   -0.047 
   1.854   -0.867   -0.063 
   1.855   -0.861   -0.078 
   1.856   -0.854   -0.094 
   1.857   -0.848   -0.109 
   1.858   -0.841   -0.124 
   1.859   -0.834   -0.139 
   1.860   -0.827   -0.155 
   1.861   -0.820   -0.169 
   1.862   -0.813   -0.184 
   1.863   -0.805   -0.199 
   1.864   -0.798   -0.213 
   1.865   -0.790   -0.227 
   1.866   -0.782   -0.241 
   1.867   -0.775   -0.255 
   1.868   -0.766   -0.268 
   1.869   -0.758   -0.281 
   1.870   -0.750   -0.294 
   1.871   -0.742   -0.306 
   1.872   -0.733   -0.319 
   1.873   -0.725   -0.331 
   1.874   -0.716   -0.342 
   1.875   -0.707   -0.354 
